ID,Nombre,Grado,pag,Sector,Grado estandarizado
775,Patricia,7c,99,Arico,7c
776,"Pavo del palomar, El",7b,211,Las Palomas,7b
777,Paz y ciencia,6a+,160,El Río,6a+
778,Pedro pico,V+,79,Arico,V+
779,Penichet,7b+,157,El Río,7b+
780,Peña del lunes,6b,70,Arico,6b
781,"Pequeño Putlitz, El",V+,51,Tamadaya,V+
782,"Perla negra, La",6a,230,Guaria,6a
783,"Perla negra, La",6a+,153,El Río,6a+
784,"Perspectiva, La",7a,23,Fasnia,7a
785,"Pesadilla, El",6b,162,El Río,6b
786,Peta de kilo,6a,83,Arico,6a
787,Peter punk,6b+,230,Guaria,6b+
788,Pico vena,6b,79,Arico,6b
789,"Picocha, La",6C,31,Fasnia,6C
790,Piedra bermeja,6a+,126,Fantasma,6a+
791,Pies negros,6a,31,Fasnia,6a
792,Pies negros,7c,162,El Río,7c
793,"Jurones de la Orotava, Los",7a,80,Arico,7a
794,Kaiser,7b+,239,Guaria,7b+
795,Karterpiller,8a,156,El Río,8a
796,Ketama,7b+,240,Guaria,7b+
797,Kill yourself,¿?,253,El Capricho,NA
798,"Killa, La",6C+,252,El Capricho,6C+
799,Kilma K5,7b,196,Las Vegas,7b
800,Kim Bassinger,7b+,261,El Capricho,7b+
801,King,6c,146,Hoyo,6c
802,Km 11,6b,70,Arico,6b
803,Km 5,"7a+, 7c",237,Guaria,"7a+, 7c"
804,Kong,6a,146,Hoyo,6a
805,L'arnaque,6a,61,Planeta Zarza,6a
806,La que se avecina,6c+,28,Fasnia,6c+
807,Laberinto al descubierto,"A2, A1, A2",239,Guaria,"A2, A1, A2"
808,Lactantes,7a,93,Arico,7a
809,Lagarto juancho,7c+,77,Arico,7c+
810,Las barbas del Moái,6b+/+,188,Las Barbas de San Pedro,6B
811,"Latin lover, El",V,74,Arico,V
812,Laudelino Cubino,7a+,250,El Capricho,7a+
813,Lavatropfen,6a+,260,El Capricho,6a+
814,Legalidad vigente,6b+,160,El Río,6b+
815,Libertad de expresión,7c+,172,Zona Zero,7c+
816,"Línea mágica, La",6a,247,El Capricho,6a
817,Live simply,6a,24,Fasnia,6a
818,Living in Las Vegas,6a+,197,Las Vegas,6a+
819,"Llambrialina, La",7b+,220,La Martela,7b+
820,Lo más grande,6c,180,Las Barbas de San Pedro,6c
821,Lo mismo de abajo,6a,217,La Martela,6a
822,Lo que hay,V,207,Las Palomas,V
823,"Locos de las motos, Los",6b+,106,Los Naranjos,6b+
824,"Lógica de un loco, La",7b,95,Arico,7b
825,Lolo master,8b,91,Arico,8b
826,"Luchador, El",6c+,76,Arico,6c+
827,Luna llena,7a,91,Arico,7a
828,"Lunnis, Los",6a,229,Guaria,6a
829,Luxación en la 3a neurona,6b+,80,Arico,6b+
830,Mac Nesio,6a+,74,Arico,6a+
831,Madia la cododá,6b+,81,Arico,6b+
832,Madmoiselle Amsterdam,7b+,159,El Río,7b+
833,Maestro Yoda,6b+,125,Fantasma,6b+
